epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,205.394,0.85688,0.84119,1.1856,0.76111,0.77812,0.82216,0.54565,1.28526,0.97451,1.63242,0.000420875,0.000420875,0.000420875
69,208.229,0.8617,0.91001,1.23042,0.88708,0.74277,0.87021,0.55283,1.26745,0.89033,1.54799,0.0004085,0.0004085,0.0004085
70,210.994,0.83637,0.82139,1.18842,0.84474,0.80697,0.89467,0.56919,1.25682,0.89208,1.55698,0.000396125,0.000396125,0.000396125
71,213.795,0.82617,0.84215,1.16748,0.75326,0.87694,0.86637,0.57594,1.26291,0.93735,1.60491,0.00038375,0.00038375,0.00038375
72,216.573,0.77487,0.80734,1.14317,0.77219,0.86674,0.85923,0.58824,1.22013,0.95492,1.56295,0.000371375,0.000371375,0.000371375
73,219.387,0.85532,0.84502,1.20857,0.79469,0.89334,0.89792,0.60267,1.29306,0.84354,1.61249,0.000359,0.000359,0.000359
74,222.172,0.82654,0.8184,1.17998,0.8572,0.8844,0.94848,0.62387,1.31596,0.84902,1.63022,0.000346625,0.000346625,0.000346625
75,225.004,0.79318,0.84152,1.17837,0.86889,0.90821,0.95392,0.64934,1.21761,0.84034,1.53555,0.00033425,0.00033425,0.00033425
76,227.816,0.77877,0.77118,1.16779,0.96419,0.62611,0.87271,0.53283,1.20145,0.8793,1.49098,0.000321875,0.000321875,0.000321875
77,230.646,0.80592,0.79349,1.14863,0.89681,0.65557,0.80116,0.52485,1.23697,0.85856,1.51874,0.0003095,0.0003095,0.0003095
78,233.426,0.79806,0.78364,1.1642,0.94846,0.63113,0.86648,0.55476,1.2456,0.81045,1.50978,0.000297125,0.000297125,0.000297125
79,236.203,0.76449,0.7844,1.13814,0.95849,0.66811,0.88343,0.55757,1.25394,0.80276,1.54241,0.00028475,0.00028475,0.00028475
80,238.974,0.74481,0.71328,1.14512,0.93588,0.69412,0.82219,0.5153,1.24607,0.8288,1.5347,0.000272375,0.000272375,0.000272375
81,241.72,0.75809,0.76265,1.13909,0.9344,0.67297,0.78887,0.52196,1.23853,0.88233,1.54707,0.00026,0.00026,0.00026
82,244.501,0.74384,0.73179,1.13815,0.94517,0.68021,0.75408,0.50019,1.2483,0.8936,1.52919,0.000247625,0.000247625,0.000247625
83,247.286,0.7864,0.74316,1.15371,0.90791,0.67922,0.71085,0.46485,1.19544,0.90737,1.49619,0.00023525,0.00023525,0.00023525
84,250.023,0.79328,0.75683,1.15403,0.92101,0.68966,0.73825,0.47726,1.18696,0.91641,1.49523,0.000222875,0.000222875,0.000222875
